Reaction ID	Formula	Cell Type	Healthy	Bipolar Disorder
R132	Valine + alpha_ketoglutarate <-> KIV + Glutamate	Astrocyte	0.0018	0.2418781
R73	Isocitrate + NADM -> alpha_ketoglutarate + NADHM + CO2	Neuron	0.259080564	0
R76	alpha_ketoglutarate + NADM -> Succinyl_CoA + NADHM + CO2	Neuron	0.439722928	0
R77	Succinyl_CoA + ADP <-> Succinate + ATP	Neuron	0.439722928	0
R152	KMV + Glutamate <-> Isoleucine + alpha_ketoglutarate	Neuron	0.102189595	0
R170	Dopamine + O2 -> Norepinephrine	Neuron	0.0173	0
R433	OxidizedGlutathione + NADPH -> 2 ReducedGlutathione + NADP	Neuron	0.03991978	0
R75	Isocitrate + NADP -> alpha_ketoglutarate + NADPH + CO2	Neuron	0.07681978	0.0369
R74	Isocitrate + NADPM -> alpha_ketoglutarate + NADPHM + CO2	Neuron	0	0.243395233
R97	Glutamate -> GABA + CO2	Neuron	0	0.534061987
R143	KIV + Glutamate <-> Valine + alpha_ketoglutarate	Neuron	0	0.2400781
R191	S_adenosyl_L_methionine -> S_adenosyl_L_homocysteine	Neuron	0	0.006190812
R434	OxidizedGlutathione + NADPHM -> 2 ReducedGlutathione + NADPM	Neuron	0	0.111506441
R103	Oxoloacetate + Glutamate <-> Aspartate + alpha_ketoglutarate	Neuron	0.137322584	0.282166754
R190	ATP + methionine -> S_adenosyl_L_methionine	Neuron	0.0042	0.010390811
R96	Glutamine -> Glutamate + NH3	Neuron	0.112822584	0.3063162
R432	2 ReducedGlutathione + H2O2 -> OxidizedGlutathione	Neuron	0.03991978	0.111506441
R431	O2 -> H2O2	Neuron	0.03821978	0.109806441
R192	S_adenosyl_L_homocysteine -> L_homocysteine + adenosine	Neuron	0.0025	0.008690811
R195	L_homocysteine -> methionine + tetrahydrofolate	Neuron	0.0025	0.008690811
R109	Pyruvate + Glutamate <-> alpha_ketoglutarate + Alanine	Neuron	0.00283299	0.0584381
R102	SuccinateSAL + NADM -> NADHM + Succinate	Neuron	0.0051	0.534061987
R101	GABA + alpha_ketoglutarate -> Glutamate + SuccinateSAL	Neuron	0.0051	0.534061987
R579	Norepinephrine_N --> 	Secretion	0.0173	0
R578	Dopamine_N --> 	Secretion	0	0.0173
R151	KMV_A --> KMV_N	Transfer	0.102189595	0
R153	Isoleucine_N --> Isoleucine_A	Transfer	0.102189595	0
R451	Ornithine --> Ornithine_N	Transfer	0.0031	0
R452	Arginine_A --> Arginine_N	Transfer	0.002	0
R460	Putrescine_N --> Putrescine_A	Transfer	0.0051	0
R91	Glutamate_N + ATP_A --> Glutamate_A + ADP_A	Transfer	0	0.043549446
R142	KIV_A --> KIV_N	Transfer	0	0.2400781
R144	Valine_N --> Valine_A	Transfer	0	0.2400781
R445	Ornithine --> Ornithine_A	Transfer	0	0.0031
R104	Aspartate_N <==> Aspartate_A	Transfer	0.108922584	0.253766754
R95	Glutamine_A --> Glutamine_N	Transfer	0.112822584	0.3063162
R110	Alanine_N <==> Alanine_A	Transfer	0.00283299	0.0584381
