Reaction	Adj.P-Values	Pathway	Formula
R132	0	Valine Metabolism	m_Valine_A + m_alpha_ketoglutarate_A <==> m_KIV_A + m_Glutamate_A
R142	0	Valine Metabolism	m_KIV_A --> m_KIV_N
R143	0	Valine Metabolism	m_KIV_N + m_Glutamate_N <==> m_Valine_N + m_alpha_ketoglutarate_N
R144	0	Valine Metabolism	m_Valine_N --> m_Valine_A
R145	0	Isoleucine Metabolism	m_Isoleucine_A + m_alpha_ketoglutarate_A <==> m_KMV_A + m_Glutamate_A
R151	0	Isoleucine Metabolism	m_KMV_A --> m_KMV_N
R152	0	Isoleucine Metabolism	m_KMV_N + m_Glutamate_N <==> m_Isoleucine_N + m_alpha_ketoglutarate_N
R153	0	Isoleucine Metabolism	m_Isoleucine_N --> m_Isoleucine_A
R170	0	Phenylalanine-Tyrosine Metabolism	m_Dopamine_N + m_O2_N --> m_Norepinephrine_N
R179	0	Proline metabolism	m_S_1_pyrroline_5_carboxylate_A + m_NADPH_A --> m_proline_A + m_NADP_A
R180	0	Proline metabolism	m_proline_A + m_FAD_AM --> m_S_1_pyrroline_5_carboxylate_A + m_FADH2_AM
R190	0	Methionine Metabolism	m_ATP_N + m_methionine_N --> m_S_adenosyl_L_methionine_N
R191	0	Methionine Metabolism	m_S_adenosyl_L_methionine_N --> m_S_adenosyl_L_homocysteine_N
R192	0	Methionine Metabolism	m_S_adenosyl_L_homocysteine_N --> m_L_homocysteine_N + m_adenosine_N
R195	0	Methionine Metabolism	m_L_homocysteine_N --> m_methionine_N + m_tetrahydrofolate_N
R421	0	Reactive Oxygen Species Pathway	m_O2_A --> m_H2O2_A
R422	0	Reactive Oxygen Species Pathway	2 m_ReducedGlutathione_A + m_H2O2_A --> m_OxidizedGlutathione_A
R423	0	Reactive Oxygen Species Pathway	m_OxidizedGlutathione_A + m_NADPH_A --> 2 m_ReducedGlutathione_A + m_NADP_A
R425	0	Reactive Oxygen Species Pathway	m_H2O2_A --> m_O2_A
R426	0	Reactive Oxygen Species Pathway	m_ReducedGlutathione_A + m_Glutamine_A --> m_Glutamate_A + m_NH3_A + m_CysteinylGlycine_A
R427	0	Reactive Oxygen Species Pathway	m_CysteinylGlycine_A --> m_CysteinylGlycine_N
R428	0	Reactive Oxygen Species Pathway	m_CysteinylGlycine_N --> m_Cysteine_N + m_Glycine_N
R429	0	Reactive Oxygen Species Pathway	m_Cysteine_N + m_Glutamate_N + m_ATP_N --> m_L_gamma_glutamylcysteine_N + m_ADP_N
R430	0	Reactive Oxygen Species Pathway	m_L_gamma_glutamylcysteine_N + m_Glycine_N + m_ATP_N --> m_ReducedGlutathione_N + m_ADP_N
R431	0	Reactive Oxygen Species Pathway	m_O2_N --> m_H2O2_N
R432	0	Reactive Oxygen Species Pathway	2 m_ReducedGlutathione_N + m_H2O2_N --> m_OxidizedGlutathione_N
R433	0	Reactive Oxygen Species Pathway	m_OxidizedGlutathione_N + m_NADPH_N --> 2 m_ReducedGlutathione_N + m_NADP_N
R434	0	Reactive Oxygen Species Pathway	m_OxidizedGlutathione_N + m_NADPH_NM --> 2 m_ReducedGlutathione_N + m_NADP_NM
R445	0	Arginine Metabolism	m_Ornithine --> m_Ornithine_A
R447	0	Arginine Metabolism	m_Arginine_A --> m_Ornithine_A + m_Urea_A
R448	0	Arginine Metabolism	m_Ornithine_A + m_alpha_ketoglutarate_A <==> m_Glutamate_A + m_Glutamate_semialdehyde_A
R449	0	Arginine Metabolism	m_Glutamate_semialdehyde_A <==> m_S_1_pyrroline_5_carboxylate_A
R450	0	Arginine Metabolism	m_S_1_pyrroline_5_carboxylate_A + m_NAD_A --> m_Glutamate_A + m_NADH_A
R451	0	Arginine Metabolism	m_Ornithine --> m_Ornithine_N
R452	0	Arginine Metabolism	m_Arginine_A --> m_Arginine_N
R456	0	Arginine Metabolism	m_Aspartate_N + m_Citrulline_N + m_ATP_N --> m_L_Arginino_Succinate_N + m_AMP_N
R457	0	Arginine Metabolism	m_L_Arginino_Succinate_N --> m_Arginine_N + m_Fumarate_N
R460	0	Arginine Metabolism	m_Putrescine_N --> m_Putrescine_A
R461	0	Polyamine Metabolism	m_Putrescine_A + m_Acetyl_CoA_A --> m_N_acetylputrescine_A
R462	0	Polyamine Metabolism	m_N_acetylputrescine_A + m_O2_A --> m_Acetamidobutanal_A + m_NH3_A + m_H2O2_A
R463	0	Polyamine Metabolism	m_Acetamidobutanal_A + m_NAD_A --> m_Acetamidobutanoate_A + m_NADH_A
R464	0	Polyamine Metabolism	m_Acetamidobutanoate_A --> m_GABA_A
R578	0	Exchange	m_Dopamine_N --> 
R579	0	Exchange	m_Norepinephrine_N --> 
R592	0	Exchange	m_ReducedGlutathione_N --> 
R626	0	Exchange	m_Urea_N --> 
R627	0	Exchange	m_Urea_A --> 
R89	5,04E-286	Glutamate - Glutamine Cycle	m_alpha_ketoglutarate_N + m_NH3_N + m_NADPH_NM <==> m_Glutamate_N + m_NADP_NM
R83	7,71E-286	TCA Cycle	m_NADP_NM + m_NADH_NM --> m_NADPH_NM + m_NAD_NM
R93	9,34E-286	Glutamate - Glutamine Cycle	m_alpha_ketoglutarate_N + m_NH3_N + m_NADH_NM <==> m_Glutamate_N + m_NAD_NM
R85	9,80E-276	Oxidative Phosphorylation and ATPase	m_Ubiquinol_N + m_CytCox_N --> m_Ubiquinone_N + m_CytCred_N + 4 m_Hc_N
R86	9,80E-276	Oxidative Phosphorylation and ATPase	m_CytCred_N + 0.5 m_O2_N --> m_CytCox_N + 2 m_Hc_N
R576	1,91E-261	Exchange	m_CO2_N --> 
R575	2,50E-247	Exchange	m_CO2_A --> 
R11	1,40E-160	Glycolysis	m_Pyruvate_A + m_NADH_A <==> m_Lactate_A + m_NAD_A
R573	1,40E-160	Exchange	m_Lactate_A --> 
R345	1,34E-65	Glycerol-3-phosphate Shuttle	m_Dihydroxyacetone_phosphate_A + m_NADH_A --> m_Glycerol_3_phosphate_A + m_NAD_A
R346	1,34E-65	Glycerol-3-phosphate Shuttle	m_Glycerol_3_phosphate_A + m_FAD_AM --> m_Dihydroxyacetone_phosphate_A + m_FADH2_AM
R536	3,46E-49	Purine Nucleoside Metabolism	m_adenosine --> m_adenosine_N
R622	3,46E-49	Exchange	 --> m_adenosine
R529	0,000208451	Pirimidine Nucleoside Metabolism	m_CMP_A + m_ATP_A --> m_CDP_A + m_ADP_A
R531	0,000208451	Pirimidine Nucleoside Metabolism	m_CDP_A + m_ATP_A --> m_CTP_A + m_ADP_A
R541	0,000303634	Purine Nucleoside Metabolism	m_AMP_N --> m_adenosine_N
R537	0,000305484	Purine Nucleoside Metabolism	m_adenosine_N + m_ATP_N --> m_AMP_N + m_ADP_N
R532	0,001454104	Pirimidine Nucleoside Metabolism	m_CTP_A --> m_CMP_A
R616	0,001564821	Exchange	 --> m_tetrahydrofolate_N
R565	0,002724449	Pirimidine Nucleoside Metabolism	m_CMP_N + m_ATP_N --> m_CDP_N + m_ADP_N
R567	0,002724449	Pirimidine Nucleoside Metabolism	m_CDP_N + m_ATP_N --> m_CTP_N + m_ADP_N
R542	0,0152772	Purine Nucleoside Metabolism	m_ATP_N --> m_ADP_N
R453	0,038654269	Arginine Metabolism	m_Arginine_N <==> m_Agmatine_N + m_CO2_N
R454	0,038654269	Arginine Metabolism	m_Agmatine_N <==> m_Putrescine_N + m_Urea_N
R458	0,038654269	Arginine Metabolism	m_Arginine_N --> m_Ornithine_N + m_Urea_N
R459	0,038654269	Arginine Metabolism	m_Ornithine_N <==> m_CO2_N + m_Putrescine_N
R568	0,043261702	Pirimidine Nucleoside Metabolism	m_CTP_N --> m_CMP_N
